,dropout_log
daycare_slots_child_rate_slots daycare_slots_infant_pct_nonwhite,0.206310313
povr_whole_total_estimate sui_adjusted_rate_avg,0.205719352
daycare_slots_child_pct_nonwhite daycare_slots_infant_pct_nonwhite,0.204371169
sui_adjusted_rate_avg,0.20377213
sui_adjusted_rate_avg gini_coef,0.202926471
daycare_slots_infant_pct_nonwhite povr_whole_total_estimate,0.201109865
std_chlamydia_rate unemployment_rate,0.200615468
daycare_slots_infant_pct_nonwhite^2,0.192070782
infant_mortality_rate std_gonorrhea_rate,0.182282939
daycare_slots_child_pct_nonwhite std_gonorrhea_rate,0.181932753
std_chlamydia_rate std_gonorrhea_rate,0.179757574
infant_mortality_rate std_chlamydia_rate,0.173451288
ecigs_sold_pct_tobacco_stores_2016 std_syphilis_rate,0.171128326
povr_whole_total_estimate asthma_surpressed,0.171006272
povr_whole_total_estimate std_syphilis_rate,0.169940081
daycare_slots_infant_pct_nonwhite std_syphilis_rate,0.169303386
daycare_slots_child_pct_nonwhite std_syphilis_rate,0.167125246
daycare_slots_infant_pct_nonwhite std_gonorrhea_rate,0.16674603
asthma_surpressed std_chlamydia_rate,0.165837153
infant_mortality_rate std_syphilis_rate,0.165475423
std_syphilis_rate,0.164682849
daycare_slots_child_rate_slots adolescent_birth_abr,0.16299342
std_syphilis_rate gini_coef,0.162000351
daycare_slots_child_pct_nonwhite infant_mortality_rate,0.1614306
asthma_surpressed,0.160677939
asthma_surpressed^2,0.160677939
asthma_surpressed gini_coef,0.159996966
sui_adjusted_rate_avg unemployment_rate,0.159902219
daycare_slots_infant_pct_nonwhite infant_mortality_rate,0.159550129
std_syphilis_rate unemployment_rate,0.159169446
adolescent_birth_abr std_gonorrhea_rate,0.156499244
infant_mortality_rate gini_coef,0.155012926
infant_mortality_rate,0.154088375
daycare_slots_child_rate_slots povr_whole_total_estimate,0.152506623
adolescent_birth_abr std_chlamydia_rate,0.152236789
std_chlamydia_rate std_syphilis_rate,0.151533772
povr_whole_total_estimate infant_mortality_rate,0.14900478
daycare_slots_child_rate_slots infant_mortality_rate,0.147675191
daycare_slots_infant_pct_nonwhite asthma_surpressed,0.146853015
adolescent_birth_abr gini_coef,0.146045355
daycare_slots_child_rate_slots std_syphilis_rate,0.145854375
adolescent_birth_abr std_syphilis_rate,0.145589333
daycare_slots_child_pct_nonwhite asthma_surpressed,0.14441494
adolescent_birth_abr,0.144195252
ecigs_sold_pct_tobacco_stores_2016 asthma_surpressed,0.142339318
infant_mortality_rate unemployment_rate,0.142263713
asthma_surpressed unemployment_rate,0.141009865
povr_whole_total_estimate gini_coef,0.14044488
asthma_surpressed sui_adjusted_rate_avg,0.139331166
povr_whole_total_estimate^2,0.138255116
ecigs_sold_pct_tobacco_stores_2016 adolescent_birth_abr,0.137680827
povr_whole_total_estimate,0.137645094
std_gonorrhea_rate std_syphilis_rate,0.13663849
adolescent_birth_abr infant_mortality_rate,0.135848576
ecigs_sold_pct_tobacco_stores_2016 infant_mortality_rate,0.135155151
adolescent_birth_abr sui_adjusted_rate_avg,0.135138277
std_gonorrhea_rate^2,0.134524091
daycare_slots_child_pct_nonwhite adolescent_birth_abr,0.132122238
std_syphilis_rate^2,0.131518844
infant_mortality_rate^2,0.131424215
daycare_slots_infant_pct_nonwhite adolescent_birth_abr,0.131070676
povr_whole_total_estimate adolescent_birth_abr,0.130337728
std_syphilis_rate sui_adjusted_rate_avg,0.128692061
asthma_surpressed std_gonorrhea_rate,0.12775056
infant_mortality_rate sui_adjusted_rate_avg,0.125262981
povr_whole_total_estimate std_gonorrhea_rate,0.124223067
daycare_slots_child_rate_slots asthma_surpressed,0.121678995
daycare_slots_child_pct_nonwhite unemployment_rate,0.118945196
adolescent_birth_abr^2,0.114834051
daycare_slots_child_rate_slots std_gonorrhea_rate,0.106139235
adolescent_birth_abr unemployment_rate,0.10602679
std_gonorrhea_rate gini_coef,0.104412541
adolescent_birth_abr asthma_surpressed,0.104100705
std_gonorrhea_rate,0.099513622
daycare_slots_infant_pct_nonwhite unemployment_rate,0.095949699
asthma_surpressed medicaid_sum_0_20,0.093467042
sui_adjusted_rate_avg^2,0.090171339
daycare_slots_child_num_facility std_syphilis_rate,0.086814743
asthma_surpressed infant_mortality_rate,0.085842766
asthma_surpressed std_syphilis_rate,0.085093775
daycare_slots_child_num_facility std_gonorrhea_rate,0.080416494
graduation_2019_cohort_size asthma_surpressed,0.079225198
daycare_slots_child_facility_capacity std_syphilis_rate,0.078000532
std_population std_syphilis_rate,0.076790429
std_gonorrhea_rate std_population,0.071769164
daycare_slots_infant_total_pop asthma_surpressed,0.071689877
daycare_slots_child_facility_capacity std_gonorrhea_rate,0.071467747
daycare_slots_child_total_pop asthma_surpressed,0.067945255
abortion_medicaid_expenditures std_syphilis_rate,0.067492534
daycare_slots_infant_total_pop std_syphilis_rate,0.066781406
daycare_slots_infant_total_pop std_gonorrhea_rate,0.064626233
daycare_slots_child_num_facility std_chlamydia_rate,0.064499789
abortion_medicaid_expenditures std_gonorrhea_rate,0.063431799
daycare_slots_child_total_pop std_syphilis_rate,0.063382029
daycare_slots_child_num_facility sui_adjusted_rate_avg,0.063121318
graduation_2019_cohort_size std_syphilis_rate,0.062581762
asthma_surpressed std_population,0.062120949
daycare_slots_child_total_pop std_gonorrhea_rate,0.062042329
graduation_2019_cohort_size std_gonorrhea_rate,0.061746585
daycare_slots_child_num_facility asthma_surpressed,0.059006758
std_gonorrhea_rate medicaid_sum_0_20,0.058868311
daycare_slots_child_rate_slots daycare_slots_child_num_facility,0.058711133
std_syphilis_rate medicaid_sum_0_20,0.058479895
daycare_slots_child_num_facility unemployment_rate,0.057825689
abortion_medicaid_expenditures asthma_surpressed,0.057190165
daycare_slots_child_num_facility infant_mortality_rate,0.057072499
std_chlamydia_rate std_population,0.056931914
daycare_slots_child_facility_capacity std_chlamydia_rate,0.05624439
daycare_slots_child_rate_slots^2,0.056204436
daycare_slots_child_num_facility adolescent_birth_abr,0.055866126
daycare_slots_child_num_facility povr_whole_total_estimate,0.055667295
daycare_slots_child_num_facility,0.054856588
daycare_slots_child_num_facility gini_coef,0.054843959
daycare_slots_infant_total_pop std_chlamydia_rate,0.053928244
abortion_medicaid_expenditures std_chlamydia_rate,0.053406392
abortion_medicaid_expenditures sui_adjusted_rate_avg,0.05337331
daycare_slots_child_num_facility daycare_slots_child_pct_nonwhite,0.052578984
sui_adjusted_rate_avg medicaid_sum_0_20,0.052449254
daycare_slots_child_total_pop std_chlamydia_rate,0.052239741
graduation_2019_cohort_size std_chlamydia_rate,0.052057212
std_population sui_adjusted_rate_avg,0.052022291
unemployment_rate medicaid_sum_0_20,0.051822227
std_chlamydia_rate medicaid_sum_0_20,0.051727659
daycare_slots_child_num_facility daycare_slots_infant_pct_nonwhite,0.051684542
daycare_slots_child_num_facility ecigs_sold_pct_tobacco_stores_2016,0.05164706
daycare_slots_child_rate_slots std_population,0.051482375
graduation_2019_cohort_size unemployment_rate,0.051236017
graduation_2019_cohort_size sui_adjusted_rate_avg,0.051099708
daycare_slots_infant_total_pop sui_adjusted_rate_avg,0.051071719
adolescent_birth_abr medicaid_sum_0_20,0.050993978
daycare_slots_infant_total_pop unemployment_rate,0.05095978
infant_mortality_rate medicaid_sum_0_20,0.050906778
abortion_medicaid_expenditures infant_mortality_rate,0.050836148
daycare_slots_infant_total_pop infant_mortality_rate,0.050759184
daycare_slots_child_facility_capacity daycare_slots_child_rate_slots,0.050355129
infant_mortality_rate std_population,0.050252902
std_population unemployment_rate,0.050223389
daycare_slots_child_facility_capacity sui_adjusted_rate_avg,0.050083199
daycare_slots_child_total_pop unemployment_rate,0.050031856
daycare_slots_infant_total_pop adolescent_birth_abr,0.049993641
daycare_slots_child_total_pop infant_mortality_rate,0.049667519
abortion_medicaid_expenditures daycare_slots_child_rate_slots,0.049458269
daycare_slots_child_total_pop sui_adjusted_rate_avg,0.049281361
daycare_slots_child_facility_capacity infant_mortality_rate,0.049272386
daycare_slots_child_total_pop adolescent_birth_abr,0.049094188
daycare_slots_child_facility_capacity unemployment_rate,0.049044129
abortion_medicaid_expenditures adolescent_birth_abr,0.049015181
adolescent_birth_abr std_population,0.048769171
povr_whole_total_estimate medicaid_sum_0_20,0.048467285
daycare_slots_child_rate_slots daycare_slots_infant_total_pop,0.048349254
povr_whole_total_estimate std_population,0.048328259
graduation_2019_cohort_size infant_mortality_rate,0.048287031
abortion_medicaid_expenditures unemployment_rate,0.048264884
daycare_slots_infant_total_pop povr_whole_total_estimate,0.048250511
graduation_2019_cohort_size adolescent_birth_abr,0.047999086
daycare_slots_child_facility_capacity adolescent_birth_abr,0.047854869
graduation_2019_cohort_size povr_whole_total_estimate,0.047821831
daycare_slots_child_facility_capacity povr_whole_total_estimate,0.047480683
abortion_medicaid_expenditures povr_whole_total_estimate,0.047467144
std_population gini_coef,0.047437425
daycare_slots_child_total_pop povr_whole_total_estimate,0.047203349
abortion_medicaid_expenditures,0.047174225
std_population,0.047111196
daycare_slots_child_rate_slots medicaid_sum_0_20,0.046946791
abortion_medicaid_expenditures gini_coef,0.046878271
daycare_slots_child_rate_slots graduation_2019_cohort_size,0.046688352
abortion_medicaid_expenditures ecigs_sold_pct_tobacco_stores_2016,0.046631302
daycare_slots_child_facility_capacity gini_coef,0.046586592
daycare_slots_infant_total_pop gini_coef,0.046320813
daycare_slots_infant_total_pop,0.046266934
daycare_slots_child_total_pop daycare_slots_child_rate_slots,0.046239159
daycare_slots_child_facility_capacity,0.046239159
medicaid_sum_0_20,0.046198839
medicaid_sum_0_20 gini_coef,0.046031135
daycare_slots_child_pct_nonwhite std_population,0.045804612
abortion_medicaid_expenditures daycare_slots_child_pct_nonwhite,0.045552305
daycare_slots_child_facility_capacity daycare_slots_child_pct_nonwhite,0.04538735
daycare_slots_child_pct_nonwhite daycare_slots_infant_total_pop,0.045338754
graduation_2019_cohort_size gini_coef,0.04512681
graduation_2019_cohort_size,0.045071081
daycare_slots_infant_pct_nonwhite std_population,0.045060257
abortion_medicaid_expenditures daycare_slots_infant_pct_nonwhite,0.044976509
daycare_slots_child_pct_nonwhite medicaid_sum_0_20,0.044939285
daycare_slots_infant_total_pop daycare_slots_infant_pct_nonwhite,0.044794668
daycare_slots_child_total_pop gini_coef,0.044783557
daycare_slots_child_total_pop,0.044721341
daycare_slots_child_facility_capacity daycare_slots_infant_pct_nonwhite,0.044578894
daycare_slots_infant_pct_nonwhite medicaid_sum_0_20,0.044574096
ecigs_sold_pct_tobacco_stores_2016 medicaid_sum_0_20,0.044541703
daycare_slots_child_facility_capacity asthma_surpressed,0.044419614
daycare_slots_child_total_pop daycare_slots_child_pct_nonwhite,0.04405577
daycare_slots_child_pct_nonwhite graduation_2019_cohort_size,0.043635391
daycare_slots_child_total_pop daycare_slots_infant_pct_nonwhite,0.043556524
daycare_slots_infant_pct_nonwhite graduation_2019_cohort_size,0.043168329
daycare_slots_infant_total_pop ecigs_sold_pct_tobacco_stores_2016,0.04308263
ecigs_sold_pct_tobacco_stores_2016 std_population,0.04274389
graduation_2019_cohort_size ecigs_sold_pct_tobacco_stores_2016,0.041542347
daycare_slots_child_facility_capacity ecigs_sold_pct_tobacco_stores_2016,0.041524062
daycare_slots_child_total_pop ecigs_sold_pct_tobacco_stores_2016,0.041414781
povr_whole_total_estimate unemployment_rate,0.03943082
daycare_slots_child_rate_slots gini_coef,0.035782763
std_gonorrhea_rate unemployment_rate,0.035418531
daycare_slots_child_num_facility^2,0.034277609
daycare_slots_child_facility_capacity daycare_slots_child_num_facility,0.033562905
abortion_medicaid_expenditures daycare_slots_child_num_facility,0.033483175
daycare_slots_child_num_facility std_population,0.033284634
daycare_slots_child_num_facility daycare_slots_infant_total_pop,0.033273145
abortion_medicaid_expenditures^2,0.033216971
abortion_medicaid_expenditures daycare_slots_infant_total_pop,0.03306368
daycare_slots_child_total_pop daycare_slots_child_num_facility,0.033043616
abortion_medicaid_expenditures daycare_slots_child_facility_capacity,0.033018062
abortion_medicaid_expenditures medicaid_sum_0_20,0.033006842
abortion_medicaid_expenditures std_population,0.032974991
daycare_slots_child_num_facility medicaid_sum_0_20,0.03297321
daycare_slots_child_facility_capacity^2,0.032927743
abortion_medicaid_expenditures daycare_slots_child_total_pop,0.032919712
abortion_medicaid_expenditures graduation_2019_cohort_size,0.032726342
daycare_slots_child_num_facility graduation_2019_cohort_size,0.032690959
daycare_slots_child_facility_capacity daycare_slots_infant_total_pop,0.03257008
daycare_slots_child_facility_capacity std_population,0.032546281
daycare_slots_child_facility_capacity daycare_slots_child_total_pop,0.032334018
daycare_slots_infant_total_pop^2,0.032330749
daycare_slots_child_facility_capacity medicaid_sum_0_20,0.032279095
medicaid_sum_0_20^2,0.032224582
daycare_slots_infant_total_pop medicaid_sum_0_20,0.032198919
daycare_slots_infant_total_pop std_population,0.03217066
std_population^2,0.032130842
daycare_slots_child_total_pop daycare_slots_infant_total_pop,0.032103803
daycare_slots_child_rate_slots,0.032096067
daycare_slots_child_total_pop medicaid_sum_0_20,0.032004031
std_population medicaid_sum_0_20,0.031976125
daycare_slots_child_total_pop std_population,0.031911969
daycare_slots_child_facility_capacity graduation_2019_cohort_size,0.031909608
daycare_slots_child_total_pop^2,0.03187221
daycare_slots_infant_total_pop graduation_2019_cohort_size,0.031713478
graduation_2019_cohort_size medicaid_sum_0_20,0.03169193
graduation_2019_cohort_size std_population,0.031493449
daycare_slots_child_total_pop graduation_2019_cohort_size,0.031458452
gini_coef^2,0.031076564
graduation_2019_cohort_size^2,0.031024808
gini_coef,0.027001176
unemployment_rate^2,-0.007714881
unemployment_rate gini_coef,-0.042078378
unemployment_rate,-0.042438335
daycare_slots_child_rate_slots unemployment_rate,-0.060391087
